Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1505;10900153313;"Mathematics in Computer Science";journal;"16618289, 16618270";"Birkhauser Verlag Basel";No;No;0,242;Q4;27;22;103;595;58;89;0,49;27,05;15,22;0;2;Switzerland;Western Europe;"Birkhauser Verlag Basel";"2007-2024";"Computational Mathematics (Q3); Applied Mathematics (Q4); Computational Theory and Mathematics (Q4)";"Computer Science; Mathematics"
1506;21100198205;"International Journal of Communication Networks and Distributed Systems";journal;"17543916, 17543924";"Inderscience";No;No;0,241;Q3;21;27;104;1438;136;104;1,49;53,26;33,33;0;9;Switzerland;Western Europe;"Inderscience";"2008-2025";"Computer Networks and Communications (Q3)";"Computer Science"
1507;21100255068;"Masaryk University Journal of Law and Technology";journal;"18025951, 18025943";"Faculty of Law, Masaryk University";Yes;No;0,241;Q4;8;8;31;559;23;31;0,89;69,88;20,00;0;2;Czech Republic;Eastern Europe;"Faculty of Law, Masaryk University";"2013-2024";"Law (Q2); Library and Information Sciences (Q3); Computer Science Applications (Q4)";"Computer Science; Social Sciences"
1508;19913;"Ruan Jian Xue Bao/Journal of Software";journal;"10009825";"Chinese Academy of Sciences";No;No;0,241;Q4;75;280;786;16273;1206;784;1,33;58,12;30,97;0;17;China;Asiatic Region;"Chinese Academy of Sciences";"1995-2025";"Software (Q4)";"Computer Science"
1509;15109;"IEICE Transactions on Information and Systems";journal;"17451361, 09168532";"Maruzen Co., Ltd/Maruzen Kabushikikaisha";No;No;0,240;Q3;58;194;748;4842;687;713;0,96;24,96;25,61;0;12;Japan;Asiatic Region;"Maruzen Co., Ltd/Maruzen Kabushikikaisha";"1993-2025";"Computer Vision and Pattern Recognition (Q3); Electrical and Electronic Engineering (Q3); Artificial Intelligence (Q4); Hardware and Architecture (Q4); Software (Q4)";"Computer Science; Engineering"
1510;21100223336;"International Journal of Human Capital and Information Technology Professionals";journal;"19473486, 19473478";"IGI Publishing";No;No;0,240;Q3;18;2;48;104;62;47;1,32;52,00;12,50;0;1;United States;Northern America;"IGI Publishing";"2010-2024";"Computer Science (miscellaneous) (Q3); Management of Technology and Innovation (Q3)";"Business, Management and Accounting; Computer Science"
1511;21100983214;"Journal of Scientometric Research";journal;"23200057, 23216654";"Phcog.Net";No;No;0,240;Q3;12;80;173;3979;207;173;1,14;49,74;36,89;0;37;India;Asiatic Region;"Phcog.Net";"2019-2024";"Information Systems (Q3); Library and Information Sciences (Q3); Computer Science Applications (Q4)";"Computer Science; Social Sciences"
1512;21101060465;"Umanistica Digitale";journal;"25328816";"University of Bologna Department of Classical and Italian Philology, Alma Mater Studiorum";Yes;Yes;0,240;Q3;6;17;87;847;36;87;0,29;49,82;60,61;0;1;Italy;Western Europe;"University of Bologna Department of Classical and Italian Philology, Alma Mater Studiorum";"2017-2024";"Arts and Humanities (miscellaneous) (Q2); Linguistics and Language (Q2); Computer Science (miscellaneous) (Q3); Library and Information Sciences (Q3); Computer Science Applications (Q4)";"Arts and Humanities; Computer Science; Social Sciences"
1513;19400157135;"International Journal of Knowledge Management Studies";journal;"17438276, 17438268";"Inderscience Enterprises Ltd";No;No;0,240;Q4;16;20;60;1630;102;60;1,88;81,50;54,55;0;6;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2006-2012, 2014-2024";"Information Systems and Management (Q3); Management Information Systems (Q3); Management of Technology and Innovation (Q3); Computer Science Applications (Q4)";"Business, Management and Accounting; Computer Science; Decision Sciences"
1514;21100983350;"Baltic Journal of Modern Computing";journal;"22558950, 22558942";"University of Latvia, Institute of Mathematics and Informatics";Yes;No;0,239;Q3;11;45;135;1208;156;135;1,00;26,84;46,76;0;11;Latvia;Eastern Europe;"University of Latvia, Institute of Mathematics and Informatics";"2019-2024";"Computer Science (miscellaneous) (Q3)";"Computer Science"
1515;18000156702;"Advances in Electrical and Computer Engineering";journal;"18447600, 15827445";"University of Suceava";Yes;No;0,238;Q3;30;38;133;1323;155;133;1,19;34,82;25,86;0;12;Romania;Eastern Europe;"University of Suceava";"2008-2024";"Computer Science (miscellaneous) (Q3); Electrical and Electronic Engineering (Q3)";"Computer Science; Engineering"
1516;21100900144;"Journal of Graphic Engineering and Design";journal;"2217379X, 22179860";"University of Novi Sad - Faculty of Technical Sciences, Department of Graphic Engineering and Design";Yes;Yes;0,238;Q3;8;17;51;450;56;51;0,68;26,47;53,66;0;2;Serbia;Eastern Europe;"University of Novi Sad - Faculty of Technical Sciences, Department of Graphic Engineering and Design";"2018-2024";"Computational Mechanics (Q3); Computer Graphics and Computer-Aided Design (Q3)";"Computer Science; Engineering"
1517;19400157202;"International Journal of Web-Based Learning and Teaching Technologies";journal;"15481107, 15481093";"IGI Publishing";No;No;0,238;Q4;20;95;139;2823;275;139;1,79;29,72;48,42;0;36;United States;Northern America;"IGI Publishing";"2006-2025";"Education (Q3); Computer Science Applications (Q4); E-learning (Q4)";"Computer Science; Social Sciences"
1518;21101070780;"CommIT Journal";journal;"19792484, 24607010";"Bina Nusantara University";Yes;No;0,237;Q3;9;19;52;723;102;52;2,05;38,05;39,53;0;8;Indonesia;Asiatic Region;"Bina Nusantara University";"2019-2024";"Computer Networks and Communications (Q3); Computer Science (miscellaneous) (Q3); Electrical and Electronic Engineering (Q3); Information Systems (Q3)";"Computer Science; Engineering"
1519;21100241768;"Preservation, Digital Technology and Culture";journal;"21952965, 21952957";"De Gruyter Saur";No;No;0,237;Q4;12;27;49;1055;47;39;0,92;39,07;48,84;0;10;Germany;Western Europe;"De Gruyter Saur";"2013-2025";"Conservation (Q2); Library and Information Sciences (Q3); Computer Science Applications (Q4)";"Arts and Humanities; Computer Science; Social Sciences"
1520;21100211768;"International Journal of Computational Vision and Robotics";journal;"1752914X, 17529131";"Inderscience Enterprises Ltd";No;No;0,236;Q3;17;29;108;1118;135;108;1,39;38,55;31,03;0;6;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2009-2025";"Computer Vision and Pattern Recognition (Q3); Computer Science Applications (Q4)";"Computer Science"
1521;21100864723;"Advanced Biomedical Engineering";journal;"21875219";"Japanese Society for Medical and Biological Engineering";Yes;No;0,235;Q3;10;45;71;1099;64;70;0,91;24,42;16,18;0;7;Japan;Asiatic Region;"Japanese Society for Medical and Biological Engineering";"2012-2025";"Biotechnology (Q3); Computer Vision and Pattern Recognition (Q3); Biomaterials (Q4); Biomedical Engineering (Q4); Computer Science Applications (Q4)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Engineering; Materials Science"
1522;21100266730;"International Journal of Information Systems in the Service Sector";journal;"19355688, 19355696";"IGI Global Publishing";No;No;0,235;Q3;16;1;67;51;72;67;1,09;51,00;50,00;0;0;United States;Northern America;"IGI Global Publishing";"2009-2024";"Information Systems (Q3); Information Systems and Management (Q3); Management Information Systems (Q3); Strategy and Management (Q3); Management Science and Operations Research (Q4)";"Business, Management and Accounting; Computer Science; Decision Sciences"
1523;21100220476;"International Journal of Work Innovation";journal;"20439032, 20439040";"Inderscience";No;No;0,235;Q3;10;21;40;1653;90;40;2,25;78,71;33,33;0;5;United Kingdom;Western Europe;"Inderscience";"2012, 2015-2017, 2020, 2022-2025";"Communication (Q3); Computer Networks and Communications (Q3); Management of Technology and Innovation (Q4); Organizational Behavior and Human Resource Management (Q4)";"Business, Management and Accounting; Computer Science; Social Sciences"
1524;21100823283;"International Journal of Asian Business and Information Management";journal;"19479638, 19479646";"IGI Global Publishing";No;No;0,235;Q4;16;25;105;1217;180;103;2,22;48,68;33,93;0;12;United States;Northern America;"IGI Global Publishing";"2017-2025";"Cultural Studies (Q2); Business and International Management (Q3); Strategy and Management (Q3); Computer Science Applications (Q4); Management of Technology and Innovation (Q4)";"Business, Management and Accounting; Computer Science; Social Sciences"
1525;17800156773;"International Journal of Innovative Computing and Applications";journal;"17516498, 1751648X";"Inderscience Enterprises Ltd";No;No;0,235;Q4;20;5;87;263;73;85;0,70;52,60;41,67;0;1;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2007-2024";"Hardware and Architecture (Q4); Software (Q4); Theoretical Computer Science (Q4)";"Computer Science; Mathematics"
1526;21100201512;"International Journal of Decision Support System Technology";journal;"19416296, 1941630X";"IGI Global Publishing";No;No;0,234;Q3;16;15;84;655;104;84;1,28;43,67;56,25;0;6;United States;Northern America;"IGI Global Publishing";"2009-2024";"Computer Science (miscellaneous) (Q3); Modeling and Simulation (Q4)";"Computer Science; Mathematics"
1527;21100237436;"Journal of Information and Knowledge Management";journal;"02196492, 17936926";"World Scientific";No;No;0,234;Q3;28;108;247;4994;373;243;1,65;46,24;38,98;0;35;Singapore;Asiatic Region;"World Scientific";"2002-2025";"Computer Networks and Communications (Q3); Library and Information Sciences (Q3); Computer Science Applications (Q4)";"Computer Science; Social Sciences"
1528;29556;"Journal of Bioinformatics and Computational Biology";journal;"02197200, 17576334";"World Scientific";No;No;0,234;Q4;49;33;135;1206;134;132;0,75;36,55;35,19;0;7;Singapore;Asiatic Region;"World Scientific";"2003-2024";"Biochemistry (Q4); Computer Science Applications (Q4); Molecular Biology (Q4)";"Biochemistry, Genetics and Molecular Biology; Computer Science"
1529;13012;"RAIRO - Theoretical Informatics and Applications";journal;"1290385X, 09883754";"EDP Sciences";No;No;0,234;Q4;33;19;34;350;18;32;0,67;18,42;24,39;0;0;France;Western Europe;"EDP Sciences";"1995-2025";"Computer Science Applications (Q4); Mathematics (miscellaneous) (Q4); Software (Q4)";"Computer Science; Mathematics"
1530;26742;"Performance Evaluation Review";journal;"01635999";"Association for Computing Machinery (ACM)";No;No;0,233;Q3;87;111;359;955;237;344;0,53;8,60;21,01;1;10;United States;Northern America;"Association for Computing Machinery (ACM)";"1980, 1982, 1984, 1986-1989, 1994, 1996-2025";"Computer Networks and Communications (Q3); Hardware and Architecture (Q4); Software (Q4)";"Computer Science"
1531;5800207702;"Interaction Studies";journal;"15720381, 15720373";"John Benjamins Publishing Company";No;No;0,233;Q4;45;10;55;400;72;52;1,11;40,00;58,06;0;1;Netherlands;Western Europe;"John Benjamins Publishing Company";"2004-2024";"Linguistics and Language (Q2); Animal Science and Zoology (Q3); Communication (Q3); Human-Computer Interaction (Q4)";"Agricultural and Biological Sciences; Computer Science; Social Sciences"
1532;27676;"Journal of Advanced Manufacturing Systems";journal;"17936896, 02196867";"World Scientific";No;No;0,232;Q4;26;55;128;2264;208;127;1,70;41,16;15,44;0;20;Singapore;Asiatic Region;"World Scientific";"2004-2025";"Industrial and Manufacturing Engineering (Q3); Strategy and Management (Q3); Computer Science Applications (Q4)";"Business, Management and Accounting; Computer Science; Engineering"
1533;21101041536;"SAE International Journal of Connected and Automated Vehicles";journal;"25740741, 2574075X";"SAE International";No;No;0,232;Q4;10;27;111;928;137;104;1,12;34,37;29,27;0;9;United States;Northern America;"SAE International";"2019-2024";"Automotive Engineering (Q3); Artificial Intelligence (Q4); Computer Science Applications (Q4); Control and Systems Engineering (Q4)";"Computer Science; Engineering"
1534;21100244604;"Scientific Visualization";journal;"20793537";"National Research Nuclear University "MEPhI"";No;No;0,232;Q4;13;56;168;1319;112;168;0,69;23,55;38,32;0;8;Russian Federation;Eastern Europe;"National Research Nuclear University "MEPhI"";"2013-2024";"Computer Vision and Pattern Recognition (Q4); Software (Q4)";"Computer Science"
1535;21101070236;"Bulletin of the Transilvania University of Brasov, Series III: Mathematics and Computer Science";journal;"28102029";"Transilvania University of Brasov 1";No;No;0,231;Q3;9;32;96;658;54;95;0,48;20,56;21,43;0;0;Romania;Eastern Europe;"Transilvania University of Brasov 1";"2021-2025";"Computer Science (miscellaneous) (Q3); Mathematics (miscellaneous) (Q4)";"Computer Science; Mathematics"
1536;144972;"Design Issues";journal;"15314790, 07479360";"";No;No;0,231;Q3;46;32;91;502;78;60;0,93;15,69;35,00;0;3;United States;Northern America;"";"2005-2024";"Arts and Humanities (miscellaneous) (Q2); Computer Graphics and Computer-Aided Design (Q3)";"Arts and Humanities; Computer Science"
1537;21100890383;"International Journal of Computing and Digital Systems";journal;"2210142X";"University of Bahrain";Yes;Yes;0,231;Q3;19;250;547;11122;809;547;1,47;44,49;35,26;0;70;Bahrain;Middle East;"University of Bahrain";"2012-2025";"Computer Graphics and Computer-Aided Design (Q3); Computer Networks and Communications (Q3); Information Systems (Q3); Artificial Intelligence (Q4); Human-Computer Interaction (Q4); Management of Technology and Innovation (Q4)";"Business, Management and Accounting; Computer Science"
1538;21100203301;"Journal of Information Processing Systems";journal;"2092805X, 1976913X";"Korea Information Processing Society (KIPS)";No;No;0,231;Q3;34;70;227;1352;228;227;0,73;19,31;45,57;0;12;South Korea;Asiatic Region;"Korea Information Processing Society (KIPS)";"2012-2024";"Information Systems (Q3); Software (Q4)";"Computer Science"
1539;145095;"Journal of Logic, Language and Information";journal;"09258531";"Springer Netherlands";No;No;0,231;Q3;37;17;88;658;44;84;0,50;38,71;10,71;0;0;Netherlands;Western Europe;"Springer Netherlands";"1992-2002, 2005-2025";"Linguistics and Language (Q2); Philosophy (Q2); Computer Science (miscellaneous) (Q3)";"Arts and Humanities; Computer Science; Social Sciences"
1540;21100787102;"International Biomechanics";journal;"23335432";"Taylor and Francis Ltd.";Yes;No;0,231;Q4;14;3;19;79;17;19;0,50;26,33;25,00;0;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2014-2024";"Orthopedics and Sports Medicine (Q3); Physical Therapy, Sports Therapy and Rehabilitation (Q3); Rehabilitation (Q3); Biomedical Engineering (Q4); Computer Science Applications (Q4)";"Computer Science; Engineering; Health Professions; Medicine"
1541;21100922608;"International Journal of Computational Materials Science and Engineering";journal;"2047685X, 20476841";"World Scientific";No;No;0,231;Q4;16;44;103;1749;137;103;1,44;39,75;28,57;0;4;Singapore;Asiatic Region;"World Scientific";"2012-2025";"Materials Science (miscellaneous) (Q3); Computer Science Applications (Q4); Mechanics of Materials (Q4); Modeling and Simulation (Q4); Numerical Analysis (Q4)";"Computer Science; Engineering; Materials Science; Mathematics"
1542;21100992514;"International Journal of Computer Networks and Applications";journal;"23950455";"EverScience Publications";Yes;No;0,230;Q3;14;57;189;2296;321;189;1,52;40,28;22,08;0;22;India;Asiatic Region;"EverScience Publications";"2019-2024";"Computer Networks and Communications (Q3); Computer Science Applications (Q4)";"Computer Science"
1543;21101116677;"Journal of Information Systems Engineering and Management";journal;"24684376";"IADITI - International Association for Digital Transformation and Technological Innovation";Yes;No;0,230;Q3;11;202;94;6980;136;94;1,31;34,55;47,58;0;98;Portugal;Western Europe;"IADITI - International Association for Digital Transformation and Technological Innovation";"2019-2025";"Information Systems (Q3)";"Computer Science"
